,country,counts
0,usa,2522
1,australia,1466
2,south africa,597
3,new zealand,143
4,papua new guinea,136
5,bahamas,132
6,brazil,122
7,mexico,101
8,italy,72
9,fiji,70
10,new caledonia,65
11,philippines,63
12,reunion,60
13,unknown,51
14,egypt,49
15,spain,46
16,mozambique,46
17,cuba,46
18,india,40
19,french polynesia,37
20,japan,36
21,croatia,35
22,panama,32
23,jamaica,30
24,solomon islands,30
25,iran,29
26,england,25
27,hong kong,24
28,greece,24
29,indonesia,24
30,pacific ocean,19
31,tonga,18
32,costa rica,18
33,atlantic ocean,17
34,bermuda,16
35,vietnam,15
36,vanuatu,14
37,sri lanka,14
38,canada,13
39,france,13
40,marshall islands,13
41,iraq,12
42,turkey,12
43,thailand,12
44,south atlantic ocean,12
45,venezuela,11
46,ecuador,11
47,united kingdom,11
48,senegal,11
49,columbia,10
50,mauritius,10
51,new guinea,10
52,seychelles,10
53,kenya,10
54,china,9
55,samoa,9
56,taiwan,9
57,sierra leone,9
58,yemen,9
59,scotland,8
60,south korea,8
61,israel,8
62,chile,8
63,tanzania,8
64,madagascar,8
65,caribbean sea,8
66,nicaragua,7
67,dominican republic,7
68,indian ocean,7
69,north pacific ocean,7
70,new britain,6
71,barbados,6
72,somalia,6
73,belize,6
74,kiribati,6
75,libya,6
76,singapore,6
77,okinawa,6
78,mid atlantic ocean,5
79,north atlantic ocean,5
80,reunion island,5
81,turks & caicos,5
82,azores,5
83,malta,5
84,palau,5
85,malaysia,5
86,saudi arabia,5
87,honduras,4
88,el salvador,4
89,uruguay,4
90,maldives,4
91,portugal,4
92,nigeria,4
93,sudan,4
94,guam,4
95,persian gulf,4
96,grenada,4
97,russia,4
98,burma,4
99,tunisia,3
100,micronesia,3
101,ceylon,3
102,liberia,3
103,guyana,3
104,trinidad & tobago,3
105,haiti,3
106,lebanon,3
107,martinique,3
108,cape verde,3
109,american samoa,3
110,guinea,3
111,montenegro,3
112,central pacific,2
113,iceland,2
114,johnston island,2
115,ireland,2
116,namibia,2
117,argentina,2
118,cayman islands,2
119,united arab emirates (uae),2
120,southwest pacific ocean,2
121,tobago,2
122,crete,2
123,peru,2
124,"st helena, british overseas territory",2
125,mediterranean sea,2
126,antigua,2
127,united arab emirates,2
128,south pacific ocean,2
129,norway,2
130,west indies,2
131,colombia,2
132,kuwait,1
133,maldive islands,1
134,syria,1
135,mayotte,1
136,ceylon (sri lanka),1
137,andaman islands,1
138,sudan?,1
139,egypt / israel,1
140,java,1
141,iran / iraq,1
142,gulf of aden,1
143,british west indies,1
144,puerto rico,1
145,bay of bengal,1
146,diego garcia,1
147,south china sea,1
148,red sea / indian ocean,1
149,british overseas territory,1
150,indian ocean?,1
151,solomon islands / vanuatu,1
152,turks and caicos,1
153,nevis,1
154,italy / croatia,1
155,cook islands,1
156,st. martin,1
157,mid-pacifc ocean,1
158,tasman sea,1
159,korea,1
160,comoros,1
161,africa,1
162,guatemala,1
163,aruba,1
164,gabon,1
165,falkland islands,1
166,british virgin islands,1
167,northern arabian sea,1
168,federated states of micronesia,1
169,bahrein,1
170,cyprus,1
171,netherlands antilles,1
172,algeria,1
173,bangladesh,1
174,asia?,1
175,british isles,1
176,greenland,1
177,northern mariana islands,1
178,st kitts / nevis,1
179,the balkans,1
180,curacao,1
181,paraguay,1
182,san domingo,1
183,red sea?,1
184,north sea,1
185,st. maartin,1
186,sweden,1
187,british new guinea,1
188,angola,1
189,tuvalu,1
190,equatorial guinea / cameroon,1
191,between portugal & india,1
192,djibouti,1
193,st martin,1
194,ocean,1
195,red sea,1
196,admiralty islands,1
197,andaman / nicobar islandas,1
198,slovenia,1
199,grand cayman,1
200,jordan,1
201,monaco,1
202,ghana,1
203,palestinian territories,1
204,georgia,1
205,coast of africa,1
206,western samoa,1
207,roatan,1
