Activity,total_attacks,fatal_count,provoked_count,unprovoked_count,fatal_rate,prov_rate
.,1,1.0,0,1,1.0,0.0
13,1,1.0,1,0,1.0,1.0
14,1,0.0,0,1,0.0,0.0
1446-ton,1,1.0,0,1,1.0,0.0
16',1,1.0,1,0,1.0,1.0
17,1,1.0,0,1,1.0,0.0
2,2,1.0,1,1,0.5,0.5
25-foot,1,1.0,0,1,1.0,0.0
3,1,0.0,1,0,0.0,1.0
"3,909-ton",1,1.0,0,1,1.0,0.0
3-masted,1,0.0,0,1,0.0,0.0
3.3,1,0.0,0,1,0.0,0.0
40',1,0.0,0,1,0.0,0.0
43-ton,1,1.0,0,1,1.0,0.0
63',1,1.0,0,1,1.0,0.0
90,1,1.0,0,1,1.0,0.0
A,5,5.0,2,3,1.0,0.4
Abalone,3,1.0,3,0,0.3333333333333333,1.0
Abandoning,2,1.0,0,2,0.5,0.0
Accidentally,3,1.0,3,0,0.3333333333333333,1.0
Adrift,10,6.0,2,8,0.6,0.2
"Adrift,",1,0.0,0,1,0.0,0.0
After,1,1.0,0,1,1.0,0.0
Air,5,5.0,0,5,1.0,0.0
Air/Sea,3,2.0,0,3,0.6666666666666666,0.0
Aircaft,1,0.0,0,1,0.0,0.0
American,5,4.0,0,5,0.8,0.0
Among,1,0.0,1,0,0.0,1.0
Angling,1,0.0,1,0,0.0,1.0
Anti-Aircraft,1,0.0,0,1,0.0,0.0
Attacked,1,0.0,1,0,0.0,1.0
Attempted,1,0.0,1,0,0.0,1.0
Attempting,23,6.0,21,2,0.2608695652173913,0.9130434782608695
B-24,1,1.0,0,1,1.0,0.0
Baiting,1,0.0,1,0,0.0,1.0
Bathing,162,78.0,162,0,0.48148148148148145,1.0
Bathing/Swimming,1,1.0,1,0,1.0,1.0
Batin,1,0.0,1,0,0.0,1.0
Beach,2,0.0,2,0,0.0,1.0
Being,1,1.0,0,1,1.0,0.0
Bending,1,1.0,1,0,1.0,1.0
Bitten,2,0.0,2,0,0.0,1.0
Board,1,0.0,1,0,0.0,1.0
Boarding,1,0.0,0,1,0.0,0.0
Boat,18,10.0,8,10,0.5555555555555556,0.4444444444444444
"Boat,",1,1.0,0,1,1.0,0.0
Boating,1,0.0,0,1,0.0,0.0
Body,131,26.0,130,1,0.1984732824427481,0.9923664122137404
Body-boarding,4,1.0,4,0,0.25,1.0
Body-surfing,1,0.0,1,0,0.0,1.0
Bodyboarding,1,0.0,1,0,0.0,1.0
Bodysurfing,1,0.0,1,0,0.0,1.0
Boeing,1,1.0,0,1,1.0,0.0
Boggie,1,0.0,1,0,0.0,1.0
Boogie,57,4.0,54,2,0.07017543859649122,0.9473684210526315
Boogie-boarding,1,0.0,1,0,0.0,1.0
Bottom,1,0.0,0,1,0.0,0.0
Bringing,1,0.0,1,0,0.0,1.0
British,4,1.0,1,3,0.25,0.25
Burning,1,1.0,0,1,1.0,0.0
C47,1,1.0,0,1,1.0,0.0
Canoe,5,3.0,3,2,0.6,0.6
Canoeing,14,0.0,7,7,0.0,0.5
Capsized,1,1.0,1,0,1.0,1.0
