Year,mean_age
1800,24.0
1801,24.0
1808,24.0
1810,24.0
1811,24.0
1812,24.0
1815,24.0
1816,24.0
1817,23.5
1825,24.0
1826,24.0
1827,24.0
1828,20.5
1829,24.0
1830,33.333333333333336
1831,24.0
1832,24.0
1834,24.0
1835,24.0
1837,20.0
1839,24.0
1840,24.0
1841,24.0
1842,21.75
1844,24.0
1845,24.0
1846,24.0
1847,23.285714285714285
1848,21.0
1849,24.0
1850,24.0
1851,24.0
1852,24.0
1853,24.0
1855,24.0
1856,23.333333333333332
1857,24.0
1858,23.5
1859,21.0
1860,24.0
1861,24.0
1862,23.714285714285715
1863,22.7
1864,23.0
1865,22.25
1866,24.0
1867,24.0
1868,26.2
1869,24.0
1870,30.428571428571427
1871,25.2
1872,24.0
1873,25.0
1874,24.0
1875,17.0
1876,24.0
1877,22.375
1878,21.727272727272727
1879,23.0
1880,24.0
1881,23.166666666666668
1882,24.0
1883,24.90909090909091
1884,24.0
1885,24.0
1886,25.363636363636363
1887,23.8
1888,22.818181818181817
1889,24.0
1890,23.53846153846154
1891,24.0
1892,22.666666666666668
1893,24.0
1894,23.615384615384617
1895,22.61111111111111
1896,23.1
1897,24.0
1898,23.38888888888889
1899,21.647058823529413
1900,24.75
1901,22.714285714285715
1902,23.25
1903,24.444444444444443
1904,23.846153846153847
1905,24.583333333333332
1906,23.941176470588236
1907,25.05
1908,23.272727272727273
1909,23.333333333333332
1910,24.0
1911,28.2
1912,20.416666666666668
1913,22.666666666666668
1914,24.8
1915,21.375
1916,23.454545454545453
1917,24.0
1918,23.6
1919,26.384615384615383
1920,20.53846153846154
1921,23.1
1922,23.105263157894736
1923,23.375
1924,24.647058823529413
1925,25.5
1926,22.58823529411765
1927,24.5
1928,25.68421052631579
1929,23.28125
1930,25.1
1931,23.956521739130434
1932,24.19047619047619
1933,23.894736842105264
1934,20.74074074074074
1935,25.304347826086957
1936,22.741935483870968
1937,23.47826086956522
1938,24.043478260869566
1939,23.3
1940,23.25
1941,24.695652173913043
1942,24.794117647058822
1943,23.565217391304348
1944,21.153846153846153
1945,23.214285714285715
1946,20.181818181818183
1947,21.925925925925927
1948,27.96
1949,22.782608695652176
1950,23.44736842105263
1951,26.923076923076923
1952,25.48148148148148
1953,23.870967741935484
1954,25.58823529411765
1955,22.473684210526315
1956,23.97826086956522
1957,23.125
1958,24.302325581395348
1959,23.47142857142857
1960,25.375
1961,24.884057971014492
1962,25.507042253521128
1963,23.576923076923077
1964,24.163636363636364
1965,25.17948717948718
1966,23.617021276595743
1967,26.0
1968,22.233333333333334
1969,24.22222222222222
1970,22.2
1971,22.727272727272727
1972,24.071428571428573
1973,25.227272727272727
1974,25.916666666666668
1975,23.763157894736842
1976,22.96875
1977,28.545454545454547
1978,24.4
1979,25.142857142857142
1980,25.78125
1981,25.071428571428573
1982,25.129032258064516
1983,23.51219512195122
1984,22.21875
1985,26.0
1986,24.757575757575758
1987,24.571428571428573
1988,25.897959183673468
1989,25.818181818181817
1990,28.86111111111111
1991,28.135135135135137
1992,25.6875
1993,28.82
1994,26.15686274509804
1995,25.048387096774192
1996,25.54901960784314
1997,26.098039215686274
1998,23.147540983606557
1999,27.112903225806452
2000,29.60919540229885
2001,26.39240506329114
2002,27.829268292682926
2003,26.686746987951807
2004,28.530864197530864
2005,27.261363636363637
2006,26.38888888888889
2007,27.91
2008,27.588785046728972
2009,28.669811320754718
2010,29.138297872340427
2011,29.46086956521739
2012,29.771428571428572
2013,31.146788990825687
2014,27.342105263157894
2015,30.232
2016,32.21739130434783
2017,29.066666666666666
2018,29.04310344827586
2019,30.466019417475728
2020,29.52127659574468
2021,31.68686868686869
2022,29.430232558139537
2023,31.24590163934426
