,country,counts
0,USA,2498
1,AUSTRALIA,1442
2,SOUTH AFRICA,588
3,NEW ZEALAND,141
4,PAPUA NEW GUINEA,132
5,BAHAMAS,129
6,BRAZIL,122
7,MEXICO,98
8,ITALY,68
9,NEW CALEDONIA,65
10,FIJI,64
11,PHILIPPINES,63
12,REUNION,58
13,EGYPT,49
14,MOZAMBIQUE,44
15,CUBA,44
16,SPAIN,44
17,FRENCH POLYNESIA,36
18,CROATIA,35
19,JAPAN,35
20,INDIA,35
21,PANAMA,29
22,SOLOMON ISLANDS,28
23,JAMAICA,28
24,IRAN,25
25,HONG KONG,24
26,INDONESIA,23
27,ENGLAND,22
28,GREECE,19
29,COSTA RICA,18
30,PACIFIC OCEAN,18
31,TONGA,18
32,ATLANTIC OCEAN,17
33,BERMUDA,14
34,SRI LANKA,13
35,VIETNAM,13
36,SOUTH ATLANTIC OCEAN,12
37,VANUATU,12
38,THAILAND,12
39,CANADA,12
40,TURKEY,12
41,MARSHALL ISLANDS,12
42,UNITED KINGDOM,11
43,ECUADOR,11
44,SENEGAL,11
45,NEW GUINEA,10
46,COLUMBIA,10
47,MAURITIUS,10
48,FRANCE,9
49,CHINA,9
50,YEMEN,9
51,SAMOA,9
52,VENEZUELA,9
53,TAIWAN,9
54,IRAQ,8
55,SCOTLAND,8
56,SOUTH KOREA,8
57,ISRAEL,8
58,CHILE,8
59,TANZANIA,8
60,KENYA,8
61,CARIBBEAN SEA,8
62,SEYCHELLES,8
63,SIERRA LEONE,8
64,INDIAN OCEAN,7
65,MADAGASCAR,7
66,DOMINICAN REPUBLIC,7
67,NORTH PACIFIC OCEAN,6
68,OKINAWA,6
69,NICARAGUA,6
70,NEW BRITAIN,6
71,SOMALIA,6
72,SINGAPORE,5
73,REUNION ISLAND,5
74,LIBYA,5
75,MID ATLANTIC OCEAN,5
76,AZORES,5
77,TURKS & CAICOS,5
78,NORTH ATLANTIC OCEAN,5
79,MALTA,5
80,PALAU,5
81,MALAYSIA,5
82,HONDURAS,4
83,PERSIAN GULF,4
84,KIRIBATI,4
85,GRENADA,4
86,BELIZE,4
87,RUSSIA,4
88,PORTUGAL,4
89,NIGERIA,4
90,GUAM,4
91,EL SALVADOR,4
92,TRINIDAD & TOBAGO,3
93,LIBERIA,3
94,TUNISIA,3
95,GUYANA,3
96,CAPE VERDE,3
97,AMERICAN SAMOA,3
98,HAITI,3
99,MALDIVES,3
100,MICRONESIA,3
101,BARBADOS,3
102,Fiji,3
103,CEYLON,3
104,MONTENEGRO,3
105,UNITED ARAB EMIRATES (UAE),2
106,LEBANON,2
107,SUDAN,2
108,IRELAND,2
109,CAYMAN ISLANDS,2
110,NAMIBIA,2
111,BURMA,2
112,Australia,2
113,SAUDI ARABIA,2
114,SOUTH PACIFIC OCEAN,2
115,UNITED ARAB EMIRATES,2
116,SOUTHWEST PACIFIC OCEAN,2
117,MARTINIQUE,2
118,CRETE,2
119,"ST HELENA, British overseas territory",2
120,TOBAGO,2
121,WEST INDIES,2
122,ANTIGUA,2
123,NORWAY,2
124,URUGUAY,2
125,CENTRAL PACIFIC,2
126,COLOMBIA,2
127,ARGENTINA,2
128,JOHNSTON ISLAND,2
129,KUWAIT,1
130,MALDIVE ISLANDS,1
131,South Africa,1
132,ANDAMAN ISLANDS,1
133,SUDAN?,1
134,Seychelles,1
135,MAYOTTE,1
136,SYRIA,1
137,IRAN / IRAQ,1
138,JAVA,1
139,EGYPT / ISRAEL,1
140,SOUTH CHINA SEA,1
141,BAY OF BENGAL,1
142,RED SEA / INDIAN OCEAN,1
143,DIEGO GARCIA,1
144,INDIAN OCEAN?,1
145,SOLOMON ISLANDS / VANUATU,1
146,British Overseas Territory,1
147,Sierra Leone,1
148,New Zealand,1
149,PERU,1
150,TURKS and CaICOS,1
151,NEVIS,1
152,GULF OF ADEN,1
153,ST. MARTIN,1
154,MID-PACIFC OCEAN,1
155,TASMAN SEA,1
156,Maldives,1
157,COOK ISLANDS,1
158,BRITISH WEST INDIES,1
159,ITALY / CROATIA,1
160,AFRICA,1
161,GUATEMALA,1
162,BRITISH ISLES,1
163,PUERTO RICO,1
164,NORTHERN ARABIAN SEA,1
165,BRITISH VIRGIN ISLANDS,1
166,FALKLAND ISLANDS,1
167,GABON,1
168,FEDERATED STATES OF MICRONESIA,1
169,NETHERLANDS ANTILLES,1
170,COMOROS,1
171,ARUBA,1
172,ALGERIA,1
173,CYPRUS,1
174,BANGLADESH,1
175,MeXICO,1
176,ST KITTS / NEVIS,1
177,THE BALKANS,1
178,SAN DOMINGO,1
179,NORTHERN MARIANA ISLANDS,1
180,CURACAO,1
181,PARAGUAY,1
182,NORTH SEA,1
183,ST. MAARTIN,1
184,BRITISH NEW GUINEA,1
185,ANGOLA,1
186,ICELAND,1
187,TUVALU,1
188,EQUATORIAL GUINEA / CAMEROON,1
189,ST MARTIN,1
190,OCEAN,1
191,RED SEA,1
192,ADMIRALTY ISLANDS,1
193,ANDAMAN / NICOBAR ISLANDAS,1
194,SLOVENIA,1
195,GRAND CAYMAN,1
196,GUINEA,1
197,JORDAN,1
198,MONACO,1
199,GHANA,1
200,PALESTINIAN TERRITORIES,1
201,GEORGIA,1
202,Coast of AFRICA,1
203,WESTERN SAMOA,1
