Year,fatal_count,total,fatal_rate
1800.0,1.0,1,1.0
1801.0,1.0,1,1.0
1802.0,1.0,1,1.0
1803.0,0.0,2,0.0
1804.0,0.0,1,0.0
1805.0,0.0,1,0.0
1807.0,0.0,1,0.0
1808.0,2.0,3,0.6666666666666666
1810.0,1.0,1,1.0
1811.0,1.0,1,1.0
1812.0,0.0,1,0.0
1815.0,1.0,1,1.0
1816.0,1.0,1,1.0
1817.0,3.0,4,0.75
1818.0,0.0,1,0.0
1819.0,0.0,1,0.0
1822.0,1.0,1,1.0
1823.0,0.0,1,0.0
1825.0,1.0,2,0.5
1826.0,3.0,5,0.6
1827.0,1.0,3,0.3333333333333333
1828.0,1.0,2,0.5
1829.0,2.0,3,0.6666666666666666
1830.0,4.0,4,1.0
1831.0,1.0,2,0.5
1832.0,0.0,2,0.0
1834.0,1.0,1,1.0
1835.0,1.0,2,0.5
1836.0,0.0,2,0.0
1837.0,1.0,4,0.25
1839.0,2.0,4,0.5
1840.0,3.0,5,0.6
1841.0,1.0,1,1.0
1842.0,1.0,4,0.25
1844.0,4.0,4,1.0
1845.0,5.0,6,0.8333333333333334
1846.0,2.0,3,0.6666666666666666
1847.0,2.0,9,0.2222222222222222
1848.0,1.0,4,0.25
1849.0,6.0,7,0.8571428571428571
1850.0,2.0,2,1.0
1851.0,2.0,3,0.6666666666666666
1852.0,7.0,10,0.7
1853.0,3.0,8,0.375
1855.0,5.0,7,0.7142857142857143
1856.0,3.0,4,0.75
1857.0,1.0,1,1.0
1858.0,3.0,6,0.5
1859.0,1.0,1,1.0
1860.0,4.0,7,0.5714285714285714
1861.0,2.0,5,0.4
1862.0,5.0,12,0.4166666666666667
1863.0,7.0,11,0.6363636363636364
1864.0,8.0,14,0.5714285714285714
1865.0,2.0,4,0.5
1866.0,1.0,2,0.5
1867.0,4.0,5,0.8
1868.0,4.0,6,0.6666666666666666
1869.0,0.0,2,0.0
1870.0,0.0,8,0.0
1871.0,2.0,9,0.2222222222222222
1872.0,3.0,8,0.375
1873.0,0.0,4,0.0
1874.0,4.0,12,0.3333333333333333
1875.0,2.0,5,0.4
1876.0,6.0,9,0.6666666666666666
1877.0,3.0,14,0.21428571428571427
1878.0,9.0,13,0.6923076923076923
1879.0,3.0,8,0.375
1880.0,5.0,15,0.3333333333333333
1881.0,4.0,9,0.4444444444444444
1882.0,5.0,12,0.4166666666666667
1883.0,10.0,13,0.7692307692307693
1884.0,5.0,7,0.7142857142857143
1885.0,3.0,9,0.3333333333333333
1886.0,3.0,16,0.1875
1887.0,8.0,13,0.6153846153846154
1888.0,6.0,15,0.4
1889.0,5.0,9,0.5555555555555556
1890.0,6.0,17,0.35294117647058826
1891.0,4.0,9,0.4444444444444444
1892.0,5.0,11,0.45454545454545453
1893.0,8.0,13,0.6153846153846154
1894.0,6.0,15,0.4
1895.0,11.0,20,0.55
1896.0,7.0,12,0.5833333333333334
1897.0,5.0,11,0.45454545454545453
1898.0,12.0,22,0.5454545454545454
1899.0,7.0,20,0.35
1900.0,3.0,13,0.23076923076923078
1901.0,3.0,9,0.3333333333333333
1902.0,5.0,15,0.3333333333333333
1903.0,8.0,10,0.8
1904.0,10.0,14,0.7142857142857143
1905.0,6.0,18,0.3333333333333333
1906.0,11.0,21,0.5238095238095238
1907.0,12.0,23,0.5217391304347826
1908.0,10.0,13,0.7692307692307693
1909.0,8.0,18,0.4444444444444444
1910.0,4.0,14,0.2857142857142857
1911.0,8.0,16,0.5
1912.0,7.0,14,0.5
1913.0,6.0,18,0.3333333333333333
1914.0,6.0,18,0.3333333333333333
1915.0,3.0,12,0.25
1916.0,12.0,25,0.48
1917.0,5.0,12,0.4166666666666667
1918.0,3.0,5,0.6
1919.0,5.0,14,0.35714285714285715
1920.0,4.0,15,0.26666666666666666
1921.0,6.0,12,0.5
1922.0,13.0,22,0.5909090909090909
1923.0,6.0,21,0.2857142857142857
1924.0,5.0,19,0.2631578947368421
1925.0,3.0,14,0.21428571428571427
1926.0,9.0,21,0.42857142857142855
1927.0,7.0,19,0.3684210526315789
1928.0,6.0,26,0.23076923076923078
1929.0,14.0,38,0.3684210526315789
1930.0,8.0,26,0.3076923076923077
1931.0,8.0,29,0.27586206896551724
1932.0,7.0,27,0.25925925925925924
1933.0,5.0,22,0.22727272727272727
1934.0,11.0,28,0.39285714285714285
1935.0,9.0,32,0.28125
1936.0,9.0,32,0.28125
1937.0,11.0,30,0.36666666666666664
1938.0,7.0,24,0.2916666666666667
1939.0,9.0,25,0.36
1940.0,9.0,24,0.375
1941.0,9.0,27,0.3333333333333333
1942.0,16.0,41,0.3902439024390244
1943.0,13.0,28,0.4642857142857143
1944.0,17.0,31,0.5483870967741935
1945.0,8.0,16,0.5
1946.0,5.0,26,0.19230769230769232
1947.0,6.0,30,0.2
1948.0,11.0,29,0.3793103448275862
1949.0,9.0,31,0.2903225806451613
1950.0,10.0,43,0.23255813953488372
1951.0,11.0,32,0.34375
1952.0,9.0,29,0.3103448275862069
1953.0,6.0,36,0.16666666666666666
1954.0,15.0,45,0.3333333333333333
1955.0,12.0,43,0.27906976744186046
1956.0,21.0,51,0.4117647058823529
1957.0,10.0,41,0.24390243902439024
1958.0,18.0,54,0.3333333333333333
1959.0,24.0,93,0.25806451612903225
1960.0,14.0,93,0.15053763440860216
1961.0,13.0,78,0.16666666666666666
1962.0,16.0,86,0.18604651162790697
1963.0,14.0,61,0.22950819672131148
1964.0,16.0,66,0.24242424242424243
