Sex,Fatal (Y/N),Type
F,N,Unprovoked
M,N,Questionable
M,N,Provoked
F,N,Unprovoked
F,Y,Unprovoked
F,N,Unprovoked
M,UNKNOWN,Unprovoked
F,N,Unprovoked
M,Y,Unprovoked
M,N,Unprovoked
M,N,Provoked
M,N,Unverified
M,N,Unprovoked
M,Y,Unprovoked
F,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
F,N,Unprovoked
M,N,Provoked
M,N,Unprovoked
F,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Provoked
F,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
F,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Watercraft
M,N,Provoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
F,UNKNOWN,Invalid
M,N,Unprovoked
F,N,Unprovoked
M,N,Unprovoked
M,Y,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Provoked
M,N,Unprovoked
M,N,Unprovoked
M,Y,Unprovoked
M,UNKNOWN,Invalid
F,N,Unprovoked
M,N,Unprovoked
F,N,Provoked
F,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Provoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,Y,Unprovoked
M,UNKNOWN,Invalid
M,N,Provoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
F,Y,Unprovoked
,N,Watercraft
M,N,Provoked
F,N,Unprovoked
F,UNKNOWN,Invalid
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Watercraft
M,N,Unprovoked
F,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,UNKNOWN,Invalid
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,N,Unprovoked
M,Y,Unprovoked
