Year,Type,Country,Area,Activity,Sex,Age,Injury,Fatal (Y/N),Species,outlier
2023.0,0.0,usa,new york,swimming,0.0,15.0,3 small puncture wounds to left leg,0.0,sand tiger shark,1
2023.0,2.0,mexico,quintana roo,swimming,1.0,10.0,significant  injury to leg,0.0,authorities report injury caused bya barracuda,-1
2022.0,0.0,south africa,knz,diving/shark feeding,1.0,26.0,hamd bitten,0.0,blacktip,1
2022.0,0.0,usa,florida,unknown,0.0,40.0,minor lacerations to left calf,0.0,a small shark,1
2022.0,0.0,egypt,"hurghada, red sea governorate",swimming,0.0,68.0,fatal,1.0,"oceaniic whitetip shark/tiger shark, 2m shark",1
2022.0,0.0,usa,florida,wing foil surfing,0.0,42.0,punctures to leg,0.0,blacktip or spinner shark,1
2021.0,0.0,brazil,são paulo.,playing,1.0,11.0,minor cuts to left thigh,0.0,dogfish,1
2021.0,0.0,usa,florida,playing,0.0,9.0,right foot bitten,0.0,"spinner shark, 4'?",1
2021.0,0.0,australia,south australia,snorkeling,1.0,32.0,fatal,1.0,white shark,1
2020.0,0.0,spain,canary islands,playing,1.0,9.0,lacerations to both feet,0.0,angel shark,1
2019.0,0.0,mexico,quinta roo,fishing,1.0,24.0,leg injured,0.0,unknown,1
2019.0,1.0,australia,new south wales,surfing,1.0,24.0,injury to wrist,0.0,unknown,1
2019.0,0.0,usa,florida,unknown,1.0,25.0,minor injury to leg,0.0,unknown,1
2018.0,0.0,mexico,sonora,diving,1.0,35.0,fatal,1.0,tiger shark,1
2018.0,0.0,usa,florida,surfing,0.0,24.0,black eye,0.0,spinner shark,1
2018.0,0.0,australia,northern territory,unknown,1.0,17.0,knee bitten,0.0,bull shark,1
2018.0,0.0,usa,hawaii,stand-up paddleboarding,1.0,23.0,right arm bitten,0.0,"tiger shark, 10' to 12'",1
2018.0,0.0,thailand,hua hin,swimming,0.0,24.0,minor injury to ankle,0.0,unknown,1
2018.0,0.0,usa,texas,fishing,1.0,24.0,forearm bitten by hooked shark provoked incident,0.0,sandtiger shark',1
2017.0,0.0,mauritius,pamplemousses,swimming,1.0,24.0,minor injury to foot,0.0,unknown,1
2017.0,0.0,australia,south australia,kayaking / fishing,0.0,15.0,minor injuries,0.0,"white shark, 4.5 m",1
2017.0,0.0,usa,massachusetts,sup,1.0,69.0,not injured by shark but board bitten,0.0,"white shark, 5' to 7'",1
2017.0,0.0,brazil,pernambuco,swimming,1.0,21.0,minor laceration to ring finger,0.0,unknown,1
2016.0,0.0,australia,queensland,fishing,1.0,31.0,laceration to left calf from hooked shark provoked incident,0.0,"reef shark, 1m",1
2016.0,0.0,usa,florida,swimming,0.0,42.0,"buttocks, thigh, left hand & wrist injured",0.0,unknown,1
2016.0,0.0,usa,south carolina,floating,1.0,42.0,lacerations and punctures to foot,0.0,3' to 5' shark,1
2016.0,0.0,australia,new south wales,surfing,1.0,22.0,severe injury to thigh,0.0,unknown,1
2015.0,0.0,usa,south carolina,boogie boarding,0.0,9.0,laceration to forearm,0.0,unknown,1
2015.0,0.0,usa,florida,surfing,1.0,20.0,injury to right foot,0.0,unknown,1
2015.0,0.0,usa,south carolina,surfing,1.0,15.0,"injuries to left calf, arm and hand",0.0,4' shark,1
2015.0,0.0,south africa,western cape province,body boarding,1.0,19.0,"right leg severed, multiple lacerations to left leg",0.0,white shark,1
2015.0,0.0,usa,florida,spearfishing,1.0,70.0,injuries to head & torso,0.0,bull shark,1
2015.0,1.0,usa,florida,fishing,1.0,24.0,no injury but shark bit trolling motor & rammed boat,0.0,white shark,1
2014.0,0.0,usa,maryland,fishing,1.0,33.0,lacerations to foot by hooked shark provoked incident,0.0,unknown,1
2014.0,0.0,usa,florida,standing,1.0,8.0,lacerations to right knee,0.0,unknown,1
2012.0,0.0,australia,new south wales,paddle boarding,1.0,29.0,lacerations to thigh and hand,0.0,"bull shark, 2m",1
2012.0,0.0,reunion,saint leu,surfing,1.0,39.0,right hand and foot severed,0.0,bull shark,1
2012.0,1.0,canada,british colombia,surfing,0.0,23.0,"lacerations to 2 fingers, but shark involvement unconfirmed",0.0,"salmon shark suspected, but unlikely",1
2012.0,0.0,reunion,saint-benoit,body boarding,1.0,31.0,"no injury, board bitten",0.0,unknown,1
2011.0,0.0,usa,oregon,surfing,0.0,24.0,minor injury to calf,0.0,unknown,1
2011.0,0.0,usa,florida,jet skiing,1.0,20.0,lacerations to foot and ankle,0.0,unknown,1
2011.0,0.0,south africa,kwazulu-natal,spearfishing,1.0,28.0,"thigh bitten, fatal",1.0,zambesi shark,1
2011.0,0.0,fiji,vitu levu,diving,1.0,27.0,minor injuries to left leg and hand,0.0,unknown,1
2010.0,0.0,samoa,unknown,fishing,1.0,47.0,serious wounds to chest,0.0,unknown,1
2010.0,0.0,usa,palmyra atoll,snorkeling,1.0,33.0,head bitten by netted shark provoked incident,0.0,unknown,1
2010.0,0.0,usa,florida,surfing,1.0,24.0,left thigh bitten,0.0,unknown,1
2010.0,0.0,usa,texas,surfing,1.0,20.0,lacerations to right foot,0.0,"bull shark, 5'",1
2010.0,0.0,fiji,off vanua levu,scuba diving,1.0,19.0,fatal,1.0,unknown,1
2010.0,1.0,guam,merizo,spearfishing (free diving),1.0,31.0,shark bites were post-mortem,0.0,invalid,1
2009.0,0.0,panama,bocas,wading,0.0,10.0,arm & torso bitten,0.0,unknown,1
2009.0,0.0,vietnam,binh dinh province,swimming,1.0,57.0,severe bite to right leg,0.0,unknown,1
2009.0,0.0,usa,florida,swimming,0.0,43.0,thigh injured by hooked shark provoked incident,0.0,"nurse shark, 6'",1
2008.0,0.0,ecuador,galapagos islands,unknown,0.0,24.0,leg bitten,0.0,unknown,1
2008.0,0.0,new caledonia,north province,fishing,1.0,40.0,lower legs bitten,0.0,2 small bull sharks,1
2008.0,0.0,usa,florida,wading,1.0,6.0,2 inch laceration to left lower calf.,0.0,unknown,1
2008.0,0.0,usa,florida,surfing,1.0,24.0,calf bitten,0.0,unknown,1
2008.0,0.0,usa,florida,fishing for snapper,1.0,24.0,minor injury to hand by hooked shark   provoked incident,0.0,"nurse shark, 10'",1
2008.0,0.0,mexico,baja california,surfing,1.0,26.0,leg bitten,0.0,possibly a hammerhead shark,1
2007.0,0.0,usa,florida,surfing,1.0,18.0,right foot bitten,0.0,unknown,1
2007.0,0.0,usa,hawaii,surfing,1.0,24.0,"no injury, board damaged",0.0,tiger shark,1
2007.0,0.0,australia,new south wales,boogie boarding,1.0,26.0,lacerations to  lower left leg & ankle,0.0,unknown,1
2007.0,0.0,south africa,eastern cape province,swimming / body surfing,1.0,24.0,"presumed fatal, body not recovered",1.0,tiger shark,1
2007.0,1.0,usa,new york,surfing,1.0,54.0,no injury,0.0,24 to 30 shark,1
2006.0,0.0,south africa,eastern cape province,canoeing,1.0,24.0,left arm lacerated when he grabbed shark by its tail provoked incident,0.0,"bull shark, 1.5m",1
2006.0,0.0,usa,florida,surfing,1.0,54.0,feet bitten,0.0,unknown,1
2006.0,0.0,south africa,eastern cape province,spearfishing,1.0,34.0,right arm  bitten,0.0,unknown,1
2005.0,0.0,australia,queensland,spearfishing,1.0,44.0,right forearm & elbow bitten,0.0,whitetip reef shark,1
2005.0,0.0,vanuatu,malampa province,swimming,0.0,7.0,fatal,1.0,"on 8/13/2005 anglers from new zealand caught a 2.8 m [9'3], 140-kg [309-lb] shark at the same spot. it was believed this was the same shark that killed alysha",1
2005.0,1.0,usa,hawaii,kayaking,0.0,24.0,"no injury, shark bit kayak",0.0,"tiger shark, 8' to 9'",1
2005.0,0.0,new zealand,north island,fishing,1.0,24.0,"no injury, netted shark dragged them 350 metres out to sea provoked incident",0.0,"bronze whaler shark, 4.3 m [14']",1
2004.0,0.0,usa,florida,surfing,0.0,20.0,right foot bitten,0.0,unknown,1
2004.0,1.0,usa,hawaii,surfing,0.0,22.0,"disappeared, surfboard washed ashore, marks on leash suggested shark involvement",0.0,shark involvement prior to death was not confirmed,1
2004.0,0.0,australia,new south wales,swimming,1.0,24.0,three toes lacerated,0.0,unknown,1
2003.0,0.0,usa,florida,surfing,1.0,18.0,left ankle bitten or right foot,0.0,unidentified species,1
2003.0,0.0,australia,south australia,wading,1.0,37.0,ankle lacerated,0.0,a small shark,1
2002.0,0.0,usa,north carolina,standing,1.0,14.0,leg lacerated,0.0,1.2 m to 1.5 m [4' to 5'] shark,1
2002.0,0.0,usa,florida,playing in the surf with his 2 dogs,1.0,35.0,"2-inch wound on dorsum of right foot, 1-inch wound on sole",0.0,unknown,1
2001.0,0.0,mexico,guerrero,body surfing,1.0,26.0,hand injured,0.0,"tiger shark, 1.8 m [6']",1
2001.0,0.0,bahamas,grand bahama island,spearfishing,1.0,43.0,calf bitten,0.0,1.9 m [6.5'] bull shark,1
2000.0,1.0,new zealand,north island,fishing,1.0,24.0,"no injury, shark bit the dinghy",0.0,"mako shark, 2 m [6.75']",1
1999.0,0.0,new zealand,south island,surfing,1.0,15.0,six puncture wounds on  leg,0.0,sevengill shark,1
1999.0,0.0,usa,hawaii,swimming,0.0,51.0,"buttock bitten, hands lacerated",0.0,"tiger shark, 1.8 m to 2.4 m [6' to 8']",1
1999.0,0.0,usa,south carolina,unknown,1.0,24.0,five cuts on his heel,0.0,unknown,1
1998.0,0.0,usa,virginia,spearfishing,1.0,24.0,lacerations to left hand,0.0,"dusky shark, 12'",1
1998.0,0.0,south africa,western cape province,body boarding,1.0,22.0,"lower legs bitten, foot severed",0.0,4 m [13'] white shark,1
1997.0,1.0,mexico,quintana roo,scuba diving,1.0,28.0,fatal,0.0,shark involvement prior to death was not confirmed,1
1997.0,0.0,usa,south carolina,standing,1.0,50.0,left calf bitten,0.0,blacktip shark,1
1996.0,0.0,usa,california,surfing,1.0,45.0,single laceration on ankle & board bitten,0.0,3 m to 5 m [10' to 16.5'] white shark,1
