Year,Age,Time,outlier,Type,Country_group,Activity_group,Fatal (Y/N)
2023.0,15.0,13.0,1,0.0,0,1,0.0
2023.0,10.0,14.0,1,2.0,5,1,0.0
2022.0,26.0,9.0,1,0.0,4,3,0.0
2022.0,40.0,13.0,1,0.0,0,3,0.0
2022.0,68.0,14.0,1,0.0,5,1,1.0
2022.0,42.0,14.0,1,0.0,0,0,0.0
2021.0,11.0,12.0,1,0.0,5,3,0.0
2021.0,9.0,16.0,1,0.0,0,3,0.0
2021.0,32.0,17.0,1,0.0,5,3,1.0
2020.0,9.0,14.0,1,0.0,5,3,0.0
2019.0,24.0,14.0,1,0.0,5,2,0.0
2019.0,24.0,13.0,1,1.0,5,0,0.0
2019.0,25.0,17.0,1,0.0,0,3,0.0
2018.0,35.0,11.0,1,0.0,5,3,1.0
2018.0,24.0,9.0,1,0.0,0,0,0.0
2018.0,17.0,15.0,1,0.0,5,3,0.0
2018.0,23.0,8.0,1,0.0,0,0,0.0
2018.0,24.0,14.0,1,0.0,5,1,0.0
2018.0,24.0,14.0,1,0.0,0,2,0.0
2017.0,24.0,15.0,1,0.0,5,1,0.0
2017.0,15.0,15.0,1,0.0,5,2,0.0
2017.0,69.0,10.0,1,0.0,0,3,0.0
2017.0,21.0,13.0,1,0.0,5,1,0.0
2016.0,31.0,14.0,1,0.0,5,2,0.0
2016.0,42.0,14.0,1,0.0,0,1,0.0
2016.0,42.0,15.0,1,0.0,0,3,0.0
2016.0,22.0,19.0,1,0.0,5,0,0.0
2015.0,9.0,16.0,1,0.0,0,0,0.0
2015.0,20.0,15.0,1,0.0,0,0,0.0
2015.0,15.0,12.0,1,0.0,0,0,0.0
2015.0,19.0,14.0,1,0.0,5,0,0.0
2015.0,70.0,15.0,1,0.0,0,2,0.0
2015.0,24.0,14.0,1,1.0,0,2,0.0
2014.0,33.0,14.0,1,0.0,0,2,0.0
2014.0,8.0,15.0,1,0.0,0,1,0.0
2012.0,29.0,10.0,1,0.0,5,0,0.0
2012.0,39.0,17.0,1,0.0,5,0,0.0
2012.0,23.0,14.0,1,1.0,5,0,0.0
2012.0,31.0,14.0,1,0.0,5,0,0.0
2011.0,24.0,9.0,1,0.0,0,0,0.0
2011.0,20.0,15.0,1,0.0,0,3,0.0
2011.0,28.0,14.0,1,0.0,5,2,1.0
2011.0,27.0,15.0,1,0.0,5,3,0.0
2010.0,47.0,9.0,1,0.0,5,2,0.0
2010.0,33.0,13.0,1,0.0,0,3,0.0
2010.0,24.0,9.0,1,0.0,0,0,0.0
2010.0,20.0,14.0,1,0.0,0,0,0.0
2010.0,19.0,9.0,1,0.0,5,3,1.0
2010.0,31.0,11.0,1,1.0,5,2,0.0
2009.0,10.0,18.0,1,0.0,5,1,0.0
2009.0,57.0,14.0,1,0.0,5,1,0.0
2009.0,43.0,14.0,1,0.0,0,1,0.0
2008.0,24.0,14.0,1,0.0,5,3,0.0
2008.0,40.0,14.0,1,0.0,5,2,0.0
2008.0,6.0,14.0,1,0.0,0,1,0.0
2008.0,24.0,10.0,1,0.0,0,0,0.0
2008.0,24.0,14.0,1,0.0,0,2,0.0
2008.0,26.0,14.0,1,0.0,5,0,0.0
2007.0,18.0,16.0,1,0.0,0,0,0.0
2007.0,24.0,7.0,1,0.0,0,0,0.0
2007.0,26.0,8.0,1,0.0,5,0,0.0
2007.0,24.0,15.0,1,0.0,5,0,1.0
2007.0,54.0,14.0,1,1.0,0,0,0.0
2006.0,24.0,15.0,1,0.0,5,3,0.0
2006.0,54.0,14.0,1,0.0,0,0,0.0
2006.0,34.0,14.0,1,0.0,5,2,0.0
2005.0,44.0,11.0,1,0.0,5,2,0.0
2005.0,7.0,15.0,1,0.0,5,1,1.0
2005.0,24.0,11.0,1,1.0,0,3,0.0
2005.0,24.0,14.0,1,0.0,5,2,0.0
2004.0,20.0,13.0,1,0.0,0,0,0.0
2004.0,22.0,14.0,1,1.0,0,0,0.0
2004.0,24.0,14.0,1,0.0,5,1,0.0
2003.0,18.0,14.0,1,0.0,0,0,0.0
2003.0,37.0,14.0,1,0.0,5,1,0.0
2002.0,14.0,11.0,1,0.0,0,1,0.0
2002.0,35.0,6.0,-1,0.0,0,0,0.0
2001.0,26.0,9.0,1,0.0,5,0,0.0
2001.0,43.0,16.0,1,0.0,5,2,0.0
2000.0,24.0,14.0,1,1.0,5,2,0.0
1999.0,15.0,14.0,1,0.0,5,0,0.0
1999.0,51.0,17.0,1,0.0,0,1,0.0
1999.0,24.0,14.0,1,0.0,0,3,0.0
1998.0,24.0,14.0,1,0.0,0,2,0.0
1998.0,22.0,14.0,1,0.0,5,0,0.0
1997.0,28.0,14.0,1,1.0,5,3,0.0
1997.0,50.0,22.0,1,0.0,0,1,0.0
1996.0,45.0,8.0,1,0.0,0,0,0.0
1996.0,14.0,13.0,1,0.0,0,1,0.0
1996.0,24.0,14.0,1,0.0,0,0,0.0
1995.0,25.0,14.0,1,0.0,0,3,1.0
1995.0,24.0,14.0,1,0.0,0,3,0.0
1995.0,47.0,14.0,1,0.0,0,0,0.0
1994.0,26.0,15.0,1,0.0,0,1,0.0
1994.0,33.0,14.0,1,0.0,0,3,0.0
1994.0,25.0,14.0,1,0.0,5,0,0.0
1993.0,35.0,15.0,1,0.0,0,0,0.0
1992.0,24.0,14.0,1,0.0,5,3,0.0
1991.0,24.0,14.0,1,0.0,0,2,0.0
1989.0,29.0,14.0,1,0.0,5,3,0.0
1969.0,35.0,14.0,1,1.0,5,3,0.0
1988.0,30.0,14.0,1,0.0,0,1,0.0
1987.0,24.0,14.0,1,0.0,0,1,1.0
1986.0,24.0,14.0,1,0.0,0,0,0.0
1986.0,23.0,14.0,1,0.0,5,0,0.0
1985.0,25.0,14.0,1,0.0,0,0,0.0
1984.0,13.0,17.0,1,0.0,0,0,0.0
1983.0,24.0,14.0,1,1.0,5,3,0.0
1982.0,24.0,14.0,1,1.0,0,3,0.0
1982.0,18.0,14.0,1,0.0,0,0,0.0
1981.0,17.0,14.0,1,0.0,0,0,0.0
1981.0,27.0,12.0,1,0.0,5,3,1.0
1980.0,22.0,15.0,1,0.0,0,1,0.0
1977.0,24.0,14.0,1,1.0,5,2,0.0
1977.0,24.0,14.0,1,1.0,5,3,0.0
1976.0,24.0,14.0,1,1.0,5,3,0.0
1976.0,25.0,14.0,1,0.0,0,0,0.0
1976.0,24.0,14.0,1,1.0,5,3,0.0
1976.0,24.0,14.0,1,0.0,5,2,0.0
1975.0,24.0,14.0,1,0.0,0,3,0.0
1975.0,17.0,10.0,1,0.0,0,0,0.0
1972.0,17.0,14.0,1,0.0,5,1,0.0
1971.0,16.0,10.0,1,0.0,5,0,0.0
1970.0,24.0,14.0,1,0.0,5,2,0.0
1968.0,10.0,12.0,1,0.0,0,3,0.0
1967.0,24.0,14.0,1,0.0,0,3,0.0
1966.0,18.0,17.0,1,0.0,5,3,0.0
1966.0,26.0,17.0,1,1.0,0,2,0.0
1965.0,6.0,14.0,1,1.0,0,1,0.0
1964.0,19.0,9.0,1,0.0,5,0,0.0
1963.0,15.0,12.0,1,0.0,5,0,1.0
1963.0,24.0,14.0,1,0.0,5,3,0.0
1962.0,28.0,10.0,1,0.0,5,2,1.0
1962.0,10.0,15.0,1,0.0,5,1,1.0
1961.0,22.0,6.0,-1,0.0,5,0,0.0
1961.0,25.0,15.0,1,0.0,0,1,0.0
1961.0,44.0,14.0,1,0.0,5,2,0.0
1961.0,24.0,14.0,1,1.0,5,2,0.0
1960.0,25.0,16.0,1,0.0,5,1,1.0
1960.0,41.0,14.0,1,0.0,5,1,0.0
1959.0,3.0,14.0,1,1.0,5,3,1.0
1959.0,24.0,14.0,1,1.0,0,1,0.0
1958.0,21.0,15.0,1,0.0,5,1,1.0
1958.0,24.0,14.0,1,0.0,5,3,0.0
1957.0,15.0,14.0,1,0.0,5,3,0.0
1957.0,24.0,14.0,1,0.0,0,1,0.0
1956.0,24.0,14.0,1,0.0,5,2,0.0
1956.0,24.0,14.0,1,0.0,5,3,0.0
1956.0,15.0,11.0,1,0.0,5,3,1.0
1955.0,24.0,14.0,1,1.0,0,2,0.0
1955.0,19.0,12.0,1,0.0,0,2,0.0
1954.0,35.0,14.0,1,0.0,0,1,0.0
1954.0,20.0,14.0,1,0.0,5,1,1.0
1954.0,24.0,14.0,1,0.0,0,3,0.0
1954.0,24.0,14.0,1,1.0,5,3,0.0
1954.0,24.0,14.0,1,0.0,5,3,0.0
1950.0,24.0,14.0,1,0.0,5,2,0.0
1950.0,24.0,14.0,1,0.0,5,3,1.0
1948.0,41.0,14.0,1,0.0,5,3,0.0
1947.0,24.0,14.0,1,0.0,5,3,0.0
1946.0,24.0,14.0,1,0.0,5,1,0.0
1945.0,13.0,14.0,1,0.0,5,1,0.0
1942.0,24.0,14.0,1,1.0,5,3,1.0
1942.0,32.0,14.0,1,1.0,5,3,1.0
1942.0,24.0,14.0,1,0.0,5,3,0.0
1941.0,24.0,14.0,1,1.0,5,3,1.0
1941.0,24.0,14.0,1,0.0,0,2,0.0
1940.0,17.0,10.0,1,0.0,5,1,1.0
1939.0,24.0,14.0,1,1.0,5,2,0.0
1937.0,24.0,14.0,1,0.0,5,1,0.0
1936.0,24.0,14.0,1,0.0,5,2,0.0
1936.0,24.0,14.0,1,0.0,0,1,1.0
1935.0,14.0,14.0,1,0.0,5,2,1.0
1934.0,24.0,22.0,1,0.0,5,2,0.0
1934.0,34.0,9.0,1,0.0,5,0,0.0
1932.0,23.0,14.0,1,0.0,5,2,0.0
1931.0,24.0,14.0,1,1.0,0,3,0.0
1931.0,24.0,14.0,1,0.0,0,3,0.0
1929.0,24.0,14.0,1,1.0,5,2,1.0
1927.0,24.0,14.0,1,1.0,5,3,1.0
1927.0,24.0,14.0,1,0.0,5,3,0.0
1926.0,24.0,14.0,1,0.0,5,3,1.0
1925.0,24.0,14.0,1,0.0,0,3,0.0
1917.0,24.0,14.0,1,0.0,5,3,0.0
1916.0,24.0,14.0,1,0.0,0,2,0.0
1916.0,24.0,14.0,1,1.0,5,3,1.0
1916.0,24.0,15.0,1,0.0,0,1,1.0
1913.0,24.0,14.0,1,0.0,0,2,0.0
1913.0,24.0,14.0,1,0.0,0,3,0.0
1913.0,24.0,14.0,1,0.0,5,1,1.0
1912.0,24.0,14.0,1,0.0,5,1,0.0
1910.0,24.0,14.0,1,1.0,0,3,0.0
1910.0,24.0,22.0,1,0.0,5,0,0.0
1910.0,24.0,14.0,1,1.0,0,2,0.0
1910.0,24.0,14.0,1,0.0,5,1,0.0
1907.0,24.0,14.0,1,0.0,0,1,0.0
1907.0,24.0,14.0,1,1.0,5,3,0.0
1905.0,24.0,14.0,1,1.0,5,1,0.0
1905.0,24.0,14.0,1,1.0,0,3,0.0
1904.0,30.0,14.0,1,0.0,5,1,1.0
1903.0,24.0,14.0,1,0.0,5,3,1.0
1903.0,24.0,14.0,1,0.0,5,3,1.0
1902.0,24.0,14.0,1,0.0,5,2,0.0
1901.0,10.0,14.0,1,0.0,5,1,0.0
1900.0,24.0,14.0,1,0.0,5,1,1.0
1899.0,24.0,15.0,1,0.0,5,3,0.0
1898.0,15.0,14.0,1,0.0,0,2,0.0
1896.0,24.0,14.0,1,0.0,0,1,1.0
1895.0,24.0,14.0,1,0.0,5,3,1.0
1893.0,24.0,16.0,1,0.0,5,3,1.0
1893.0,24.0,14.0,1,0.0,5,1,1.0
1892.0,24.0,14.0,1,0.0,5,3,1.0
1888.0,24.0,14.0,1,0.0,5,3,1.0
1887.0,24.0,11.0,-1,0.0,5,3,1.0
1886.0,24.0,14.0,1,1.0,5,3,0.0
1883.0,24.0,14.0,1,0.0,0,0,1.0
1882.0,24.0,9.0,-1,0.0,5,1,0.0
1880.0,24.0,14.0,1,1.0,5,3,0.0
1878.0,24.0,14.0,1,0.0,5,1,0.0
1878.0,24.0,14.0,1,0.0,5,0,1.0
1878.0,24.0,14.0,1,1.0,5,3,1.0
1876.0,24.0,14.0,1,0.0,5,1,1.0
1876.0,24.0,14.0,1,0.0,5,3,0.0
1874.0,24.0,14.0,1,0.0,5,3,0.0
1874.0,24.0,14.0,1,1.0,5,2,0.0
1870.0,39.0,14.0,-1,0.0,5,1,0.0
1865.0,17.0,9.0,-1,0.0,0,1,0.0
1856.0,22.0,14.0,-1,0.0,5,1,1.0
1856.0,24.0,14.0,-1,0.0,5,1,1.0
1852.0,24.0,14.0,-1,0.0,5,1,1.0
1849.0,24.0,14.0,-1,0.0,0,1,1.0
1846.0,24.0,14.0,-1,1.0,5,3,1.0
1839.0,29.0,14.0,-1,0.0,5,3,0.0
1830.0,52.0,14.0,-1,0.0,0,2,1.0
2023.0,73.0,13.0,1,0.0,5,3,0.0
2023.0,11.0,15.0,1,0.0,5,3,0.0
2023.0,24.0,14.0,1,0.0,0,2,0.0
2023.0,60.0,12.0,1,0.0,0,1,0.0
2022.0,15.0,14.0,1,0.0,5,1,0.0
2022.0,24.0,15.0,1,0.0,0,3,0.0
2022.0,24.0,12.0,1,0.0,5,1,0.0
2022.0,24.0,16.0,1,0.0,0,1,0.0
2022.0,24.0,14.0,1,0.0,5,3,0.0
2021.0,41.0,6.0,-1,0.0,0,0,0.0
2021.0,54.0,14.0,1,0.0,0,0,0.0
2021.0,24.0,17.0,1,0.0,5,2,0.0
2019.0,10.0,17.0,1,2.0,0,0,0.0
2018.0,8.0,13.0,1,0.0,5,1,0.0
2018.0,26.0,12.0,1,0.0,0,0,1.0
2018.0,12.0,18.0,1,0.0,5,1,0.0
2018.0,34.0,22.0,1,0.0,5,2,0.0
2017.0,24.0,11.0,1,0.0,5,0,0.0
2017.0,24.0,15.0,1,0.0,5,0,0.0
2017.0,17.0,16.0,1,0.0,5,0,1.0
2017.0,58.0,10.0,1,0.0,0,0,0.0
2016.0,36.0,11.0,1,0.0,0,0,0.0
2016.0,37.0,14.0,1,0.0,0,0,0.0
2016.0,24.0,14.0,1,1.0,5,2,0.0
2015.0,24.0,15.0,1,0.0,0,0,0.0
2015.0,21.0,14.0,1,0.0,0,0,0.0
2015.0,27.0,15.0,1,0.0,0,2,0.0
2015.0,12.0,18.0,1,0.0,0,3,0.0
2015.0,36.0,14.0,1,1.0,5,2,0.0
2015.0,24.0,14.0,1,0.0,5,0,0.0
2014.0,24.0,6.0,-1,0.0,5,0,0.0
2014.0,40.0,15.0,1,0.0,0,2,0.0
2014.0,24.0,18.0,1,0.0,5,1,0.0
2013.0,55.0,10.0,1,0.0,5,3,0.0
2013.0,50.0,10.0,1,0.0,0,0,0.0
2012.0,42.0,18.0,1,0.0,0,0,0.0
2012.0,22.0,15.0,1,0.0,0,0,0.0
2012.0,32.0,7.0,1,0.0,0,0,0.0
2012.0,44.0,16.0,1,0.0,0,0,0.0
2012.0,6.0,19.0,1,0.0,0,1,0.0
2012.0,30.0,14.0,1,1.0,0,2,0.0
2012.0,33.0,9.0,1,0.0,5,3,1.0
2012.0,21.0,14.0,1,0.0,0,0,0.0
2011.0,27.0,9.0,1,1.0,0,0,0.0
2011.0,43.0,14.0,1,1.0,5,2,0.0
2011.0,21.0,15.0,1,0.0,5,2,0.0
2010.0,24.0,12.0,1,1.0,0,3,0.0
2010.0,55.0,14.0,1,0.0,0,0,0.0
2009.0,39.0,12.0,1,0.0,5,2,0.0
2009.0,24.0,14.0,1,0.0,5,2,0.0
2009.0,24.0,18.0,1,0.0,0,0,0.0
2009.0,24.0,20.0,1,0.0,0,1,0.0
2009.0,24.0,7.0,1,0.0,0,2,0.0
2009.0,33.0,19.0,1,0.0,5,0,0.0
2009.0,24.0,7.0,1,0.0,5,0,0.0
2008.0,24.0,14.0,1,0.0,5,2,0.0
2008.0,16.0,14.0,1,1.0,5,3,0.0
2008.0,21.0,14.0,1,0.0,5,0,1.0
2008.0,42.0,14.0,1,0.0,5,0,0.0
2007.0,24.0,8.0,1,0.0,0,0,0.0
2007.0,36.0,15.0,1,0.0,0,3,0.0
2007.0,7.0,13.0,1,0.0,0,3,0.0
2006.0,22.0,14.0,1,0.0,0,0,0.0
2006.0,21.0,13.0,1,0.0,0,1,0.0
2006.0,49.0,14.0,1,0.0,5,2,0.0
2005.0,24.0,14.0,1,0.0,5,2,0.0
2005.0,12.0,14.0,1,0.0,5,0,0.0
2004.0,44.0,11.0,1,0.0,0,0,0.0
2004.0,61.0,8.0,1,0.0,0,1,0.0
2003.0,50.0,8.0,1,0.0,0,1,1.0
2002.0,15.0,17.0,1,0.0,0,1,0.0
2002.0,24.0,14.0,1,0.0,5,1,1.0
2001.0,17.0,16.0,1,0.0,0,0,0.0
2001.0,24.0,14.0,1,0.0,0,3,0.0
2000.0,12.0,14.0,1,0.0,5,3,0.0
2000.0,48.0,11.0,1,0.0,5,3,0.0
2000.0,26.0,14.0,1,0.0,5,1,0.0
1999.0,16.0,18.0,1,0.0,0,0,0.0
1999.0,24.0,14.0,1,0.0,5,3,0.0
1999.0,24.0,14.0,1,0.0,5,3,0.0
1999.0,24.0,14.0,1,0.0,5,2,1.0
1998.0,18.0,17.0,1,0.0,5,0,0.0
1998.0,47.0,14.0,1,0.0,5,1,0.0
1997.0,32.0,9.0,1,0.0,0,1,0.0
1997.0,17.0,14.0,1,0.0,5,2,0.0
1997.0,24.0,14.0,1,0.0,5,0,0.0
1996.0,13.0,14.0,1,0.0,5,1,0.0
1995.0,39.0,11.0,1,0.0,0,0,0.0
1995.0,23.0,15.0,1,0.0,0,1,0.0
1995.0,18.0,13.0,1,0.0,0,1,0.0
1995.0,44.0,14.0,1,0.0,5,3,1.0
1995.0,24.0,14.0,1,0.0,5,3,0.0
1994.0,34.0,9.0,1,0.0,0,0,0.0
1994.0,22.0,8.0,1,0.0,0,0,0.0
1994.0,15.0,16.0,1,0.0,5,0,0.0
1993.0,34.0,14.0,1,1.0,0,3,0.0
1993.0,51.0,17.0,1,0.0,5,2,0.0
1993.0,55.0,14.0,1,0.0,0,2,0.0
1991.0,24.0,9.0,1,0.0,0,3,0.0
1989.0,12.0,18.0,1,0.0,0,0,0.0
1989.0,21.0,14.0,1,0.0,0,1,0.0
1989.0,24.0,10.0,1,0.0,0,0,0.0
1988.0,30.0,14.0,1,0.0,0,0,0.0
1987.0,27.0,9.0,1,0.0,0,0,0.0
1987.0,16.0,14.0,1,0.0,0,1,0.0
1986.0,24.0,14.0,1,1.0,0,3,0.0
1986.0,24.0,14.0,1,0.0,5,3,0.0
1985.0,21.0,14.0,1,1.0,5,1,0.0
1984.0,24.0,14.0,1,0.0,5,2,0.0
1984.0,24.0,14.0,1,1.0,5,3,0.0
1983.0,16.0,14.0,1,0.0,0,0,0.0
1983.0,15.0,16.0,1,0.0,5,2,1.0
1983.0,24.0,14.0,1,0.0,0,0,0.0
1983.0,24.0,14.0,1,1.0,5,3,0.0
1982.0,19.0,14.0,1,0.0,0,1,0.0
1982.0,20.0,16.0,1,0.0,0,1,0.0
1981.0,24.0,14.0,1,0.0,5,3,0.0
1981.0,32.0,14.0,1,0.0,0,3,0.0
1981.0,24.0,14.0,1,1.0,5,3,0.0
1980.0,24.0,14.0,1,0.0,5,1,0.0
1978.0,39.0,14.0,1,1.0,0,3,0.0
1974.0,10.0,14.0,1,1.0,0,3,1.0
1973.0,24.0,14.0,1,0.0,5,3,0.0
1972.0,33.0,14.0,1,0.0,5,2,0.0
1969.0,18.0,16.0,1,0.0,5,0,0.0
1969.0,24.0,14.0,1,0.0,5,3,0.0
1968.0,24.0,14.0,1,1.0,5,3,0.0
1968.0,12.0,14.0,1,0.0,5,1,0.0
1968.0,20.0,15.0,1,0.0,0,0,0.0
1967.0,24.0,14.0,1,1.0,5,2,0.0
1966.0,13.0,9.0,1,0.0,5,1,1.0
1966.0,24.0,14.0,1,1.0,5,3,0.0
1965.0,24.0,14.0,1,0.0,5,2,0.0
1965.0,49.0,15.0,1,0.0,0,3,0.0
1965.0,24.0,14.0,1,0.0,0,0,0.0
1964.0,19.0,14.0,1,0.0,5,3,0.0
1964.0,24.0,14.0,1,0.0,5,2,1.0
1964.0,24.0,11.0,1,1.0,5,3,0.0
1964.0,21.0,12.0,1,0.0,0,0,0.0
1964.0,20.0,15.0,1,0.0,5,1,0.0
1963.0,24.0,15.0,1,0.0,5,1,0.0
1962.0,44.0,12.0,1,0.0,5,2,0.0
1961.0,21.0,14.0,1,0.0,5,2,0.0
1961.0,40.0,22.0,1,0.0,5,2,0.0
1960.0,24.0,14.0,1,1.0,0,3,0.0
1960.0,24.0,22.0,1,0.0,5,1,0.0
1959.0,21.0,14.0,1,1.0,0,3,0.0
1959.0,24.0,14.0,1,0.0,5,1,1.0
1959.0,14.0,14.0,1,0.0,5,3,0.0
1959.0,17.0,9.0,1,0.0,5,0,0.0
1958.0,36.0,12.0,1,0.0,5,2,0.0
1958.0,24.0,14.0,1,0.0,0,1,0.0
1958.0,24.0,14.0,1,1.0,5,2,0.0
1958.0,24.0,14.0,1,0.0,5,2,0.0
1957.0,24.0,14.0,1,0.0,5,3,0.0
1957.0,30.0,14.0,1,0.0,5,2,0.0
1956.0,24.0,14.0,1,0.0,5,2,1.0
1955.0,24.0,14.0,1,1.0,5,3,0.0
1955.0,25.0,14.0,1,0.0,5,1,1.0
1954.0,24.0,22.0,1,1.0,5,2,0.0
1954.0,24.0,14.0,1,0.0,5,3,1.0
