Year,Age,Time,Type,Country,Activity,Fatal (Y/N)
2023.0,15.0,13.0,0.0,177,341,0.0
2023.0,10.0,13.0,2.0,95,341,0.0
2022.0,26.0,9.0,0.0,145,100,0.0
2022.0,68.0,13.0,0.0,42,341,1.0
2022.0,42.0,14.0,0.0,177,394,0.0
2021.0,9.0,16.0,0.0,177,242,0.0
2021.0,32.0,17.0,0.0,9,309,1.0
2020.0,9.0,13.0,0.0,151,242,0.0
2019.0,24.0,13.0,0.0,95,125,0.0
2019.0,24.0,13.0,1.0,9,336,0.0
2018.0,35.0,11.0,0.0,95,97,1.0
2018.0,24.0,13.0,0.0,177,336,0.0
2018.0,23.0,8.0,0.0,177,323,0.0
2018.0,24.0,13.0,0.0,163,341,0.0
2018.0,24.0,13.0,0.0,177,125,0.0
2017.0,24.0,13.0,0.0,93,341,0.0
2017.0,15.0,13.0,0.0,9,185,0.0
2017.0,69.0,10.0,0.0,177,271,0.0
2017.0,21.0,13.0,0.0,17,341,0.0
2016.0,31.0,13.0,0.0,9,125,0.0
2016.0,42.0,14.0,0.0,177,341,0.0
2016.0,42.0,15.0,0.0,177,131,0.0
2016.0,22.0,19.0,0.0,9,336,0.0
2015.0,9.0,16.0,0.0,177,54,0.0
2015.0,20.0,15.0,0.0,177,336,0.0
2015.0,15.0,12.0,0.0,177,336,0.0
2015.0,19.0,14.0,0.0,145,47,0.0
2015.0,70.0,13.0,0.0,177,313,0.0
2015.0,24.0,13.0,1.0,177,125,0.0
2014.0,33.0,13.0,0.0,177,125,0.0
2014.0,8.0,13.0,0.0,177,324,0.0
2012.0,29.0,10.0,0.0,9,227,0.0
2012.0,39.0,17.0,0.0,130,336,0.0
2012.0,31.0,14.0,0.0,130,47,0.0
2011.0,24.0,9.0,0.0,177,336,0.0
2011.0,20.0,13.0,0.0,177,180,0.0
2011.0,28.0,13.0,0.0,145,313,1.0
2011.0,27.0,13.0,0.0,49,97,0.0
2010.0,47.0,13.0,0.0,133,125,0.0
2010.0,33.0,13.0,0.0,177,309,0.0
2010.0,24.0,9.0,0.0,177,336,0.0
2010.0,20.0,13.0,0.0,177,336,0.0
2010.0,19.0,9.0,0.0,49,279,1.0
2009.0,10.0,18.0,0.0,120,378,0.0
2009.0,57.0,13.0,0.0,180,341,0.0
2009.0,43.0,13.0,0.0,177,341,0.0
2008.0,40.0,14.0,0.0,104,125,0.0
2008.0,6.0,13.0,0.0,177,378,0.0
2008.0,24.0,10.0,0.0,177,336,0.0
2008.0,24.0,13.0,0.0,177,125,0.0
2008.0,26.0,13.0,0.0,95,336,0.0
2007.0,18.0,16.0,0.0,177,336,0.0
2007.0,24.0,7.0,0.0,177,336,0.0
2007.0,26.0,8.0,0.0,9,54,0.0
2007.0,24.0,13.0,0.0,145,341,1.0
2006.0,24.0,13.0,0.0,145,62,0.0
2006.0,54.0,13.0,0.0,177,336,0.0
2006.0,34.0,14.0,0.0,145,313,0.0
2005.0,44.0,11.0,0.0,9,313,0.0
2005.0,7.0,13.0,0.0,178,341,1.0
2005.0,24.0,11.0,1.0,177,185,0.0
2005.0,24.0,14.0,0.0,106,125,0.0
2004.0,20.0,13.0,0.0,177,336,0.0
2004.0,24.0,13.0,0.0,9,341,0.0
2003.0,18.0,14.0,0.0,177,336,0.0
2003.0,37.0,13.0,0.0,9,378,0.0
2002.0,14.0,11.0,0.0,177,324,0.0
2002.0,35.0,6.0,0.0,177,242,0.0
2001.0,26.0,13.0,0.0,95,47,0.0
2001.0,43.0,16.0,0.0,11,313,0.0
2000.0,24.0,13.0,1.0,106,125,0.0
1999.0,15.0,13.0,0.0,106,336,0.0
1999.0,51.0,17.0,0.0,177,341,0.0
1998.0,24.0,13.0,0.0,177,313,0.0
1998.0,22.0,14.0,0.0,145,47,0.0
1997.0,50.0,13.0,0.0,177,324,0.0
1996.0,45.0,8.0,0.0,177,336,0.0
1996.0,14.0,13.0,0.0,177,341,0.0
1996.0,24.0,13.0,0.0,177,336,0.0
1995.0,25.0,13.0,0.0,177,279,1.0
1995.0,24.0,13.0,0.0,177,97,0.0
1995.0,47.0,13.0,0.0,177,47,0.0
1994.0,26.0,13.0,0.0,177,378,0.0
1994.0,33.0,13.0,0.0,177,255,0.0
1994.0,25.0,13.0,0.0,17,336,0.0
1993.0,35.0,15.0,0.0,177,232,0.0
1991.0,24.0,13.0,0.0,177,125,0.0
1989.0,29.0,14.0,0.0,145,138,0.0
1988.0,30.0,13.0,0.0,177,324,0.0
1987.0,24.0,13.0,0.0,177,341,1.0
1986.0,24.0,13.0,0.0,177,336,0.0
1986.0,23.0,13.0,0.0,145,336,0.0
1985.0,25.0,13.0,0.0,177,336,0.0
1984.0,13.0,17.0,0.0,177,360,0.0
1983.0,24.0,13.0,1.0,125,121,0.0
1982.0,18.0,13.0,0.0,177,336,0.0
1981.0,17.0,13.0,0.0,177,336,0.0
1981.0,27.0,12.0,0.0,148,289,1.0
1980.0,22.0,13.0,0.0,177,324,0.0
1977.0,24.0,13.0,1.0,145,125,0.0
1976.0,25.0,14.0,0.0,177,336,0.0
1976.0,24.0,13.0,0.0,145,287,0.0
1975.0,24.0,13.0,0.0,177,138,0.0
1975.0,17.0,10.0,0.0,177,336,0.0
1972.0,17.0,13.0,0.0,106,341,0.0
1971.0,16.0,10.0,0.0,106,336,0.0
1970.0,24.0,13.0,0.0,152,313,0.0
1966.0,18.0,17.0,0.0,11,309,0.0
1964.0,19.0,9.0,0.0,9,337,0.0
1963.0,15.0,12.0,0.0,145,318,1.0
1962.0,28.0,10.0,0.0,74,313,1.0
1962.0,10.0,13.0,0.0,121,341,1.0
1961.0,22.0,6.0,0.0,97,339,0.0
1961.0,25.0,13.0,0.0,177,324,0.0
1961.0,44.0,13.0,0.0,145,125,0.0
1961.0,24.0,13.0,1.0,9,125,0.0
1960.0,25.0,16.0,0.0,145,341,1.0
1960.0,41.0,14.0,0.0,9,341,0.0
1959.0,3.0,13.0,1.0,88,5,1.0
1958.0,21.0,15.0,0.0,9,341,1.0
1958.0,24.0,13.0,0.0,133,240,0.0
1957.0,15.0,13.0,0.0,142,97,0.0
1957.0,24.0,13.0,0.0,177,35,0.0
1956.0,24.0,13.0,0.0,121,314,0.0
1956.0,24.0,13.0,0.0,9,97,0.0
1956.0,15.0,11.0,0.0,9,97,1.0
1955.0,24.0,13.0,1.0,177,125,0.0
1955.0,19.0,12.0,0.0,177,313,0.0
1954.0,35.0,13.0,0.0,177,341,0.0
1954.0,20.0,13.0,0.0,64,341,1.0
1950.0,24.0,13.0,0.0,9,313,0.0
1950.0,24.0,13.0,0.0,140,97,1.0
1948.0,41.0,13.0,0.0,11,316,0.0
1947.0,24.0,13.0,0.0,11,32,0.0
1946.0,24.0,13.0,0.0,161,341,0.0
1945.0,13.0,13.0,0.0,70,341,0.0
1942.0,24.0,13.0,1.0,150,20,1.0
