Year,Type,Country,Area,Activity,Age,Injury,Fatal (Y/N),Time,outlier
2023.0,0.0,USA,New York,Swimming,15.0,3 small puncture wounds to left leg,0.0,13.0,1
2023.0,2.0,MEXICO,Quintana Roo,Swimming,10.0,Significant  injury to leg,0.0,14.0,1
2022.0,0.0,South Africa,KNZ,Diving/Shark Feeding,26.0,Hamd bitten,0.0,9.0,1
2022.0,0.0,USA,Florida,,40.0,Minor lacerations to left calf,0.0,13.0,1
2022.0,0.0,EGYPT,"Hurghada, Red Sea Governorate",Swimming,68.0,FATAL,1.0,14.0,1
2022.0,0.0,USA,Florida,Wing Foil Surfing,42.0,Punctures to leg,0.0,14.0,1
2021.0,0.0,BRAZIL,São Paulo.,Playing,11.0,Minor cuts to left thigh,0.0,12.0,1
2021.0,0.0,USA,Florida,Playing,9.0,Right foot bitten,0.0,16.0,1
2021.0,0.0,AUSTRALIA,South Australia,Snorkeling,32.0,FATAL,1.0,17.0,1
2020.0,0.0,SPAIN,Canary Islands,Playing,9.0,Lacerations to both feet,0.0,14.0,1
2019.0,0.0,MEXICO,Quinta Roo,Fishing,24.0,Leg injured,0.0,14.0,1
2019.0,1.0,AUSTRALIA,New South Wales,Surfing,24.0,Injury to wrist,0.0,13.0,1
2019.0,0.0,USA,Florida,,25.0,Minor injury to leg,0.0,17.0,1
2018.0,0.0,MEXICO,Sonora,Diving,35.0,FATAL,1.0,11.0,1
2018.0,0.0,USA,Florida,Surfing,24.0,Black eye,0.0,9.0,1
2018.0,0.0,AUSTRALIA,Northern Territory,,17.0,Knee bitten,0.0,15.0,1
2018.0,0.0,USA,Hawaii,Stand-Up Paddleboarding,23.0,Right arm bitten,0.0,8.0,1
2018.0,0.0,THAILAND,Hua Hin,Swimming,24.0,Minor injury to ankle,0.0,14.0,1
2018.0,0.0,USA,Texas,Fishing,24.0,Forearm bitten by hooked shark PROVOKED INCIDENT,0.0,14.0,1
2017.0,0.0,MAURITIUS,Pamplemousses,Swimming,24.0,Minor injury to foot,0.0,15.0,1
2017.0,0.0,AUSTRALIA,South Australia,Kayaking / Fishing,15.0,Minor injuries,0.0,15.0,1
2017.0,0.0,USA,Massachusetts,SUP,69.0,Not injured by shark but board bitten,0.0,10.0,1
2017.0,0.0,BRAZIL,Pernambuco,Swimming,21.0,Minor laceration to ring finger,0.0,13.0,1
2016.0,0.0,AUSTRALIA,Queensland,Fishing,31.0,Laceration to left calf from hooked shark PROVOKED INCIDENT,0.0,14.0,1
2016.0,0.0,USA,Florida,Swimming,42.0,"Buttocks, thigh, left hand & wrist injured",0.0,14.0,1
2016.0,0.0,USA,South Carolina,Floating,42.0,Lacerations and punctures to foot,0.0,15.0,1
2016.0,0.0,AUSTRALIA,New South Wales,Surfing,22.0,Severe injury to thigh,0.0,19.0,1
2015.0,0.0,USA,South Carolina,Boogie boarding,9.0,Laceration to forearm,0.0,16.0,1
2015.0,0.0,USA,Florida,Surfing,20.0,Injury to right foot,0.0,15.0,1
2015.0,0.0,USA,South Carolina,Surfing,15.0,"Injuries to left calf, arm and hand",0.0,12.0,1
2015.0,0.0,SOUTH AFRICA,Western Cape Province,Body Boarding,19.0,"Right leg severed, multiple lacerations to left leg",0.0,14.0,1
2015.0,0.0,USA,Florida,Spearfishing,70.0,Injuries to head & torso,0.0,15.0,1
2015.0,1.0,USA,Florida,Fishing,24.0,No injury but shark bit trolling motor & rammed boat,0.0,14.0,1
2014.0,0.0,USA,Maryland,Fishing,33.0,Lacerations to foot by hooked shark PROVOKED INCIDENT,0.0,14.0,1
2014.0,0.0,USA,Florida,Standing,8.0,Lacerations to right knee,0.0,15.0,1
2012.0,0.0,AUSTRALIA,New South Wales,Paddle boarding,29.0,Lacerations to thigh and hand,0.0,10.0,1
2012.0,0.0,REUNION,Saint Leu,Surfing,39.0,Right hand and foot severed,0.0,17.0,1
2012.0,1.0,CANADA,British Colombia,Surfing,23.0,"Lacerations to 2 fingers, but shark involvement unconfirmed",0.0,14.0,1
2012.0,0.0,REUNION,Saint-Benoit,Body boarding,31.0,"No injury, board bitten",0.0,14.0,1
2011.0,0.0,USA,Oregon,Surfing,24.0,Minor injury to calf,0.0,9.0,1
2011.0,0.0,USA,Florida,Jet skiing,20.0,Lacerations to foot and ankle,0.0,15.0,1
2011.0,0.0,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,28.0,"Thigh bitten, FATAL",1.0,14.0,1
2011.0,0.0,FIJI,Vitu Levu,Diving,27.0,Minor injuries to left leg and hand,0.0,15.0,1
2010.0,0.0,SAMOA,,Fishing,47.0,Serious wounds to chest,0.0,9.0,1
